BATCH_SIZE,SEQ_LENGTH,LEARNING RATE,ACCURACY,PRECISION,RECALL,F1 SCORE
8,256,1.00E-05,0.750488281,0.53965184,0.5205239,0.52991453
8,256,5.00E-05,0.73828125,0,0,0
8,256,1.00E-04,0.73828125,0,0,0
8,256,5.00E-04,0.73828125,0,0,0
8,256,1.00E-03,0.73828125,0,0,0
8,256,5.00E-03,0.73828125,0,0,0
8,128,1.00E-05,0.754394531,0.541304348,0.464552239,0.5
8,128,5.00E-05,0.73828125,0,0,0
8,128,1.00E-04,0.73828125,0,0,0
8,128,5.00E-04,0.73828125,0,0,0
8,128,1.00E-03,0.73828125,0,0,0
8,128,5.00E-03,0.73828125,0,0,0
8,64,1.00E-05,0.759277344,0.81863665,0.86574074,0.84153005
8,64,5.00E-05,0.73828125,0,0,0
8,64,1.00E-04,0.73828125,0,0,0
8,64,5.00E-04,0.73828125,0,0,0
8,32,1.00E-05,0.735839844,0.494929006,0.455223881,0.474246842
8,32,5.00E-05,0.73828125,0,0,0
8,32,1.00E-04,0.73828125,0,0,0
8,32,5.00E-04,0.73828125,0,0,0
16,256,1.00E-05,0.756347656,0.539614561,0.470149254,0.502492522
16,256,5.00E-05,0.759765625,0.8121547,0.875,0.84240688
16,256,1.00E-04,0.73828125,0,0,0
16,256,5.00E-04,0.73828125,0,0,0
16,256,1.00E-03,0.73828125,0,0,0
16,256,5.00E-03,0.73828125,0,0,0
16,128,1.00E-05,0.756835938,0.53877551,0.492537313,0.514619883
16,128,5.00E-05,0.7421875,0.508064516,0.470149254,0.488372093
16,128,1.00E-04,0.73828125,0,0,0
16,128,5.00E-04,0.73828125,0,0,0
16,128,1.00E-03,0.73828125,0,0,0
16,128,5.00E-03,0.73828125,0,0,0
16,64,1.00E-05,0.751464844,0.528784648,0.462686567,0.493532338
16,64,5.00E-05,0.757324219,0.541401274,0.475746269,0.506454816
16,64,1.00E-04,0.73828125,0,0,0
16,64,5.00E-04,0.73828125,0,0,0
16,64,1.00E-03,0.73828125,0,0,0
16,64,5.00E-03,0.73828125,0,0,0
16,32,1.00E-05,0.729980469,0.481876333,0.421641791,0.449751244
16,32,5.00E-05,0.73828125,0,0,0
16,32,1.00E-04,0.73828125,0,0,0
16,32,5.00E-04,0.73828125,0,0,0
16,32,1.00E-03,0.73828125,0,0,0
16,32,5.00E-03,0.73828125,0,0,0
32,256,1.00E-05,0.753417969,0.53699284,0.419776119,0.471204188
32,256,5.00E-05,0.765625,0.82741117,0.86243386,0.84455959
32,256,1.00E-04,0.73828125,0,0,0
32,256,5.00E-04,0.73828125,0,0,0
32,256,1.00E-03,0.73828125,0,0,0
32,256,5.00E-03,0.73828125,0,0,0
32,128,1.00E-05,0.742675781,0.510158014,0.421641791,0.461695608
32,128,5.00E-05,0.754882813,0.537280702,0.457089552,0.493951613
32,128,1.00E-04,0.73828125,0,0,0
32,128,5.00E-04,0.73828125,0,0,0
32,128,1.00E-03,0.73828125,0,0,0
32,128,5.00E-03,0.73828125,0,0,0
32,64,1.00E-05,0.735839844,0.494331066,0.406716418,0.446264074
32,64,5.00E-05,0.7421875,0.511363636,0.335820896,0.405405405
32,64,1.00E-04,0.73828125,0,0,0
32,64,5.00E-04,0.73828125,0,0,0
32,64,1.00E-03,0.73828125,0,0,0
32,64,5.00E-03,0.73828125,0,0,0
32,32,1.00E-05,0.739257813,0.50212766,0.440298507,0.469184891
32,32,5.00E-05,0.746582031,0.516634051,0.492537313,0.504297994
32,32,1.00E-04,0.73828125,0,0,0
32,32,5.00E-04,0.73828125,0,0,0
32,32,1.00E-03,0.73828125,0,0,0
32,32,5.00E-03,0.73828125,0,0,0
64,256,1.00E-05,0.747558594,0.523690773,0.391791045,0.448239061
64,256,5.00E-05,0.761230469,0.81711097,0.87169312,0.84352
64,256,1.00E-04,0.736328125,0.478723404,0.083955224,0.142857143
64,256,5.00E-04,0.73828125,0,0,0
64,256,1.00E-03,0.73828125,0,0,0
64,256,5.00E-03,0.73828125,0,0,0
64,128,1.00E-05,0.744628906,0.516209476,0.38619403,0.441835646
64,128,5.00E-05,0.751953125,0.532258065,0.430970149,0.47628866
64,128,1.00E-04,0.73828125,0,0,0
64,128,5.00E-04,0.73828125,0,0,0
64,128,1.00E-03,0.73828125,0,0,0
64,128,5.00E-03,0.73828125,0,0,0
64,64,1.00E-05,0.745117188,0.517676768,0.382462687,0.439914163
64,64,5.00E-05,0.761230469,0.557739558,0.423507463,0.481442206
64,64,1.00E-04,0.73828125,0,0,0
64,64,5.00E-04,0.73828125,0,0,0
64,64,1.00E-03,0.73828125,0,0,0
64,64,5.00E-03,0.73828125,0,0,0
64,32,1.00E-05,0.72265625,0.461165049,0.354477612,0.400843882
64,32,5.00E-05,0.739746094,0.502935421,0.479477612,0.490926457
64,32,1.00E-04,0.73828125,0,0,0
64,32,5.00E-04,0.73828125,0,0,0
64,32,1.00E-03,0.73828125,0,0,0
64,32,5.00E-03,0.73828125,0,0,0
128,64,1.00E-05,0.737304688,0.497076023,0.317164179,0.387243736
128,64,5.00E-05,0.747558594,0.518664047,0.492537313,0.505263158
128,64,1.00E-04,0.752929688,0.78767943,0.87103175,0.82726131
128,64,5.00E-04,0.73828125,0,0,0
128,64,1.00E-03,0.73828125,0,0,0
128,64,5.00E-03,0.73828125,0,0,0
128,32,1.00E-05,0.7265625,0.461783439,0.270522388,0.341176471
128,32,5.00E-05,0.729980469,0.483168317,0.455223881,0.468780019
128,32,1.00E-04,0.737792969,0.496969697,0.152985075,0.233951498
128,32,5.00E-04,0.73828125,0,0,0
128,32,1.00E-03,0.73828125,0,0,0
128,32,5.00E-03,0.73828125,0,0,0
